case,case_id,found_by_crawl,scraped_rows,docs_with_link,docs_on_gcs,confirmations_with_link,confirmations_on_gcs,not_on_gcs_examples
case_15903,CV-714679-21/KI,3,3,3,3,0,0,
case_15904,CV-714680-21/KI,1,1,1,1,0,0,
case_15905,CV-714685-21/KI,3,3,3,3,0,0,
case_15906,CV-714686-21/KI,3,3,3,3,0,0,
case_15907,CV-714687-21/KI,17,17,17,17,0,0,
case_15908,CV-714688-21/KI,1,1,1,1,0,0,
case_15909,CV-714689-21/KI,2,2,2,2,0,0,
case_15910,CV-714690-21/KI,2,2,2,2,0,0,
case_15911,CV-714691-21/KI,1,1,1,1,0,0,
case_15912,CV-714692-21/KI,1,1,1,1,0,0,
case_15913,CV-714693-21/KI,1,1,1,1,0,0,
case_15914,CV-714694-21/KI,1,1,1,1,0,0,
case_15915,CV-714695-21/KI,1,1,1,1,0,0,
case_15916,CV-714696-21/KI,1,1,1,1,0,0,
case_15917,CV-714697-21/KI,1,1,1,1,0,0,
case_15918,CV-714698-21/KI,3,3,3,3,0,0,
case_15919,CV-715572-21/KI,1,1,1,1,0,0,
case_15920,CV-715573-21/KI,1,1,1,1,0,0,
case_15921,CV-715574-21/KI,1,1,1,1,0,0,
case_15922,CV-715575-21/KI,3,3,3,3,0,0,
case_15923,CV-715576-21/KI,1,1,1,1,0,0,
case_15924,CV-715577-21/KI,4,4,4,4,0,0,
case_15925,CV-715578-21/KI,1,1,1,1,0,0,
case_15926,CV-715579-21/KI,1,1,1,1,0,0,
case_15927,CV-715586-21/KI,3,3,3,3,0,0,
case_15928,CV-715587-21/KI,3,3,3,3,0,0,
case_15929,CV-715588-21/KI,1,1,1,1,0,0,
case_15930,CV-715589-21/KI,3,3,3,3,1,1,
case_15931,CV-715590-21/KI,1,1,1,1,0,0,
case_15932,CV-715591-21/KI,3,3,3,3,0,0,
case_15933,CV-715592-21/KI,3,3,3,3,0,0,
case_15937,CV-715596-21/KI,3,3,3,3,2,2,
case_15938,CV-715597-21/KI,1,1,1,1,0,0,
case_15939,CV-715598-21/KI,3,3,3,3,2,2,
case_15942,CV-715601-21/KI,1,1,1,1,0,0,
case_15946,CV-715605-21/KI,8,8,8,8,5,5,
case_15948,CV-715607-21/KI,3,3,3,3,2,2,
case_15955,CV-715614-21/KI,1,1,1,1,0,0,
case_15957,CV-715616-21/KI,1,1,1,1,0,0,
case_15958,CV-715617-21/KI,1,1,1,1,0,0,
case_15959,CV-715618-21/KI,1,1,1,1,0,0,
case_15960,CV-715619-21/KI,1,1,1,1,0,0,
case_15961,CV-715620-21/KI,1,1,1,1,0,0,
case_15962,CV-715853-21/KI,1,1,1,1,0,0,
case_15963,CV-715854-21/KI,1,1,1,1,0,0,
case_15964,CV-715855-21/KI,1,1,1,1,0,0,
case_15965,CV-715856-21/KI,1,1,1,1,0,0,
case_15966,CV-715857-21/KI,1,1,1,1,0,0,
case_15967,CV-715858-21/KI,1,1,1,1,0,0,
case_15968,CV-715859-21/KI,1,1,1,1,0,0,
case_15969,CV-715860-21/KI,1,1,1,1,0,0,
case_15970,CV-715861-21/KI,1,1,1,1,0,0,
case_15971,CV-715862-21/KI,1,1,1,1,0,0,
case_15972,CV-716785-21/KI,1,1,1,1,0,0,
case_15973,CV-716943-21/KI,19,19,19,19,0,0,
case_15974,CV-717481-22/KI,18,18,18,18,0,0,
case_15975,CV-717506-22/KI,25,25,25,25,0,0,
case_15976,CV-717507-22/KI,24,24,24,24,0,0,
case_15977,CV-718457-22/KI,2,2,2,2,0,0,
case_15978,CV-718960-21/KI,3,3,3,3,0,0,
case_15979,CV-719997-22/KI,4,4,4,4,0,0,
case_15980,CV-719998-22/KI,6,6,6,6,0,0,
case_15981,CV-720116-21/KI,6,6,6,6,0,0,
case_15982,CV-720269-21/KI,10,10,10,10,0,0,
case_15983,CV-720320-21/KI,3,3,3,3,0,0,
case_15984,CV-720329-21/KI,53,53,53,53,0,0,
case_15985,CV-720671-22/KI,22,22,22,22,17,17,
case_15994,CV-720838-21/KI,1,1,1,1,0,0,
case_16000,CV-720931-21/KI,1,1,1,1,0,0,
case_16001,CV-720932-21/KI,2,2,2,2,1,1,
case_16002,CV-720933-21/KI,2,2,2,2,0,0,
case_16003,CV-720934-21/KI,1,1,1,1,0,0,
case_16004,CV-720935-21/KI,1,1,1,1,0,0,
case_16005,CV-720936-21/KI,26,26,26,26,0,0,
case_16006,CV-720937-21/KI,1,1,1,1,0,0,
case_16007,CV-720938-21/KI,1,1,1,1,0,0,
case_16008,CV-720939-21/KI,10,10,10,10,0,0,
case_16009,CV-720940-21/KI,1,1,1,1,0,0,
case_16010,CV-720941-21/KI,1,1,1,1,0,0,
case_16011,CV-720942-21/KI,1,1,1,1,0,0,
case_16012,CV-720943-21/KI,4,4,4,4,0,0,
case_16013,CV-720944-21/KI,3,3,3,3,0,0,
case_16014,CV-720945-21/KI,3,3,3,3,0,0,
case_16015,CV-720946-21/KI,3,3,3,3,0,0,
case_16016,CV-720947-21/KI,1,1,1,1,0,0,
case_16018,CV-720949-21/KI,1,1,1,1,0,0,
case_16019,CV-720950-21/KI,1,1,1,1,0,0,
case_16020,CV-720951-21/KI,1,1,1,1,0,0,
case_16021,CV-720952-21/KI,32,32,32,32,6,6,
case_16022,CV-720953-21/KI,28,28,28,28,19,19,
case_16023,CV-720954-21/KI,1,1,1,1,0,0,
case_16024,CV-720955-21/KI,2,2,2,2,0,0,
case_16025,CV-720956-21/KI,13,13,13,13,0,0,
case_16026,CV-720957-21/KI,1,1,1,1,0,0,
case_16027,CV-720958-21/KI,2,2,2,2,0,0,
case_16028,CV-720959-21/KI,4,4,4,4,0,0,
case_16029,CV-720961-21/KI,3,3,3,3,0,0,
case_16030,CV-720962-21/KI,3,3,3,3,0,0,
case_16031,CV-720963-21/KI,3,3,3,3,0,0,
case_16032,CV-720964-21/KI,1,1,1,1,0,0,
case_16033,CV-720965-21/KI,1,1,1,1,0,0,
case_16034,CV-720966-21/KI,1,1,1,1,0,0,
case_16035,CV-720967-21/KI,1,1,1,1,0,0,
case_16036,CV-720968-21/KI,18,18,18,18,0,0,
case_16037,CV-720969-21/KI,20,20,20,20,0,0,
case_16038,CV-720970-21/KI,2,2,2,2,1,1,
case_16039,CV-720971-21/KI,1,1,1,1,0,0,
case_16040,CV-720972-21/KI,1,1,1,1,0,0,
case_16041,CV-720973-21/KI,1,1,1,1,0,0,
case_16042,CV-720974-21/KI,1,1,1,1,0,0,
case_16043,CV-720975-21/KI,1,1,1,1,0,0,
case_16044,CV-720976-21/KI,1,1,1,1,0,0,
case_16045,CV-720978-21/KI,3,3,3,3,0,0,
case_16046,CV-720979-21/KI,3,3,3,3,1,1,
case_16049,CV-720982-21/KI,1,1,1,1,0,0,
case_16075,CV-721010-21/KI,4,4,4,4,0,0,
case_16076,CV-721011-21/KI,1,1,1,1,0,0,
case_16077,CV-721012-21/KI,1,1,1,1,0,0,
case_16078,CV-721013-21/KI,19,19,19,19,0,0,
case_16079,CV-721014-21/KI,12,12,12,12,1,1,
case_16080,CV-721015-21/KI,2,2,2,2,0,0,
case_16081,CV-721016-21/KI,3,3,3,3,0,0,
case_16082,CV-721017-21/KI,1,1,1,1,0,0,
case_16083,CV-721018-21/KI,3,3,3,3,2,2,
case_16084,CV-721019-21/KI,3,3,3,3,1,1,
case_16085,CV-721020-21/KI,3,3,3,3,0,0,
case_16086,CV-721021-21/KI,3,3,3,3,0,0,
case_16087,CV-721022-21/KI,3,3,3,3,0,0,
case_16088,CV-721023-21/KI,1,1,1,1,0,0,
case_16089,CV-721024-21/KI,3,3,3,3,0,0,
case_16090,CV-721025-21/KI,3,3,3,3,0,0,
case_16091,CV-721026-21/KI,3,3,3,3,0,0,
case_16092,CV-721027-21/KI,3,3,3,3,0,0,
case_16093,CV-721028-21/KI,3,3,3,3,0,0,
case_16094,CV-721063-21/KI,1,1,1,1,0,0,
case_16095,CV-721064-21/KI,1,1,1,1,0,0,
case_16096,CV-721065-21/KI,1,1,1,1,0,0,
case_16097,CV-721066-21/KI,1,1,1,1,0,0,
case_16098,CV-721067-21/KI,3,3,3,3,0,0,
case_16099,CV-721068-21/KI,1,1,1,1,0,0,
case_16100,CV-721069-21/KI,1,1,1,1,0,0,
case_16102,CV-721072-21/KI,1,1,1,1,0,0,
case_16103,CV-721073-21/KI,4,4,4,4,2,2,
case_16104,CV-721074-21/KI,3,3,3,3,2,2,
case_16114,CV-721084-21/KI,9,9,9,9,8,8,
case_16117,CV-721088-21/KI,20,20,20,20,12,12,
case_16118,CV-721089-21/KI,1,1,1,1,0,0,
case_16119,CV-721090-21/KI,3,3,3,3,0,0,
case_16120,CV-721091-21/KI,2,2,2,2,0,0,
case_16121,CV-721092-21/KI,1,1,1,1,0,0,
case_16122,CV-721093-21/KI,2,2,2,2,0,0,
case_16123,CV-721094-21/KI,2,2,2,2,0,0,
case_16124,CV-721095-21/KI,3,3,3,3,0,0,
case_16125,CV-721096-21/KI,1,1,1,1,0,0,
case_16126,CV-721097-21/KI,1,1,1,1,0,0,
case_16127,CV-721098-21/KI,1,1,1,1,0,0,
case_16128,CV-721099-21/KI,1,1,1,1,0,0,
case_16129,CV-721100-21/KI,1,1,1,1,0,0,
case_16130,CV-721101-21/KI,1,1,1,1,0,0,
case_16131,CV-721102-21/KI,1,1,1,1,0,0,
case_16132,CV-721103-21/KI,1,1,1,1,0,0,
case_16133,CV-721104-21/KI,1,1,1,1,0,0,
case_16134,CV-721105-21/KI,3,3,3,3,0,0,
case_16135,CV-721106-21/KI,3,3,3,3,0,0,
case_16136,CV-721107-21/KI,3,3,3,3,0,0,
case_16137,CV-721108-21/KI,3,3,3,3,0,0,
case_16138,CV-721109-21/KI,3,3,3,3,0,0,
case_16139,CV-721110-21/KI,3,3,3,3,0,0,
case_16140,CV-721111-21/KI,3,3,3,3,0,0,
case_16141,CV-721112-21/KI,3,3,3,3,0,0,
case_16142,CV-721113-21/KI,1,1,1,1,0,0,
case_16143,CV-721114-21/KI,3,3,3,3,0,0,
case_16144,CV-721115-21/KI,1,1,1,1,0,0,
case_16145,CV-721116-21/KI,1,1,1,1,0,0,
case_16146,CV-721117-21/KI,1,1,1,1,0,0,
case_16147,CV-721118-21/KI,1,1,1,1,0,0,
case_16148,CV-721119-21/KI,1,1,1,1,0,0,
case_16149,CV-721120-21/KI,19,19,19,19,0,0,
case_16150,CV-721121-21/KI,24,24,24,24,0,0,
case_16151,CV-721122-21/KI,3,3,3,3,0,0,
case_16152,CV-721123-21/KI,1,1,1,1,0,0,
case_16153,CV-721124-21/KI,2,2,2,2,0,0,
case_16154,CV-721125-21/KI,1,1,1,1,0,0,
case_16155,CV-721126-21/KI,3,3,3,3,0,0,
case_16156,CV-721127-21/KI,1,1,1,1,0,0,
case_16157,CV-721128-21/KI,1,1,1,1,0,0,
case_16158,CV-721301-21/KI,6,6,6,6,0,0,
case_16159,CV-721308-21/KI,3,3,3,3,0,0,
case_16160,CV-721311-21/KI,14,14,14,14,0,0,
case_16161,CV-721320-21/KI,33,33,33,33,0,0,
case_16162,CV-721321-21/KI,18,18,18,18,0,0,
case_16163,CV-721322-21/KI,30,30,30,30,0,0,
case_16164,CV-721329-21/KI,9,9,9,9,0,0,
case_16165,CV-721330-21/KI,7,7,7,7,0,0,
case_16166,CV-721348-21/KI,2,2,2,2,0,0,
case_16167,CV-721363-21/KI,2,2,2,2,0,0,
case_16168,CV-721378-21/KI,1,1,1,1,0,0,
case_16169,CV-721379-21/KI,1,1,1,1,0,0,
case_16170,CV-721380-21/KI,1,1,1,1,0,0,
case_16171,CV-721384-21/KI,5,5,5,5,0,0,
case_16172,CV-721388-21/KI,60,60,60,60,0,0,
case_16173,CV-721389-21/KI,40,40,40,40,0,0,
case_16174,CV-721390-21/KI,77,77,77,77,0,0,
case_16175,CV-721430-21/KI,27,27,27,27,0,0,
case_16176,CV-721431-21/KI,18,18,18,18,0,0,
case_16180,CV-721473-21/KI,11,11,11,11,10,10,
case_16181,CV-721474-21/KI,8,8,8,8,0,0,
case_16182,CV-721476-21/KI,26,26,26,26,2,2,
case_16183,CV-721477-21/KI,18,18,18,18,0,0,
case_16184,CV-721478-21/KI,9,9,9,9,0,0,
case_16185,CV-721479-21/KI,9,9,9,9,0,0,
case_16186,CV-721480-21/KI,23,23,23,23,0,0,
case_16187,CV-721481-21/KI,20,20,20,20,0,0,
case_16188,CV-721502-21/KI,10,10,10,10,0,0,
case_16189,CV-721503-21/KI,9,9,9,9,0,0,
case_16190,CV-721504-21/KI,11,11,11,11,0,0,
case_16191,CV-721505-21/KI,17,17,17,17,0,0,
case_16192,CV-721506-21/KI,10,10,10,10,0,0,
case_16193,CV-721507-21/KI,11,11,11,11,0,0,
case_16194,CV-721508-21/KI,22,22,22,22,0,0,
case_16195,CV-721509-21/KI,22,22,22,22,0,0,
case_16196,CV-721527-21/KI,32,32,32,32,0,0,
case_16197,CV-721528-21/KI,22,22,22,22,0,0,
case_16198,CV-721529-21/KI,35,35,35,35,0,0,
case_16199,CV-721549-21/KI,2,2,2,2,0,0,
case_16200,CV-721550-21/KI,2,2,2,2,0,0,
case_16201,CV-721551-21/KI,2,2,2,2,0,0,
case_16202,CV-721561-21/KI,6,6,6,6,0,0,
case_16203,CV-721573-21/KI,11,11,11,11,0,0,
case_16204,CV-722984-21/KI,1,1,1,1,0,0,
case_16205,CV-722992-21/KI,1,1,1,1,0,0,
case_16206,CV-723007-21/KI,3,3,3,3,0,0,
case_16207,CV-723012-21/KI,3,3,3,3,0,0,
case_16208,CV-723013-21/KI,3,3,3,3,0,0,
case_16209,CV-723016-21/KI,3,3,3,3,0,0,
case_16210,CV-723017-21/KI,6,6,6,6,0,0,
case_16211,CV-723024-21/KI,3,3,3,3,0,0,
case_16212,CV-723025-21/KI,3,3,3,3,0,0,
case_16213,CV-723028-21/KI,3,3,3,3,0,0,
case_16214,CV-723052-21/KI,16,16,16,16,0,0,
case_16215,CV-723089-21/KI,3,3,3,3,0,0,
case_16216,CV-723145-21/KI,1,1,1,1,0,0,
case_16217,CV-723146-21/KI,1,1,1,1,0,0,
case_16218,CV-723157-21/KI,2,2,2,2,0,0,
case_16219,CV-723174-21/KI,5,5,5,5,0,0,
case_16220,CV-723175-21/KI,2,2,2,2,0,0,
case_16221,CV-723176-21/KI,2,2,2,2,0,0,
case_16222,CV-723180-21/KI,21,21,21,21,0,0,
case_16223,CV-723196-21/KI,9,9,9,9,0,0,
case_16224,CV-723199-21/KI,25,25,25,25,0,0,
case_16225,CV-723200-21/KI,21,21,21,21,19,19,
case_16227,CV-723203-21/KI,11,11,11,11,4,4,
case_16228,CV-723207-21/KI,21,21,21,21,0,0,
case_16229,CV-723208-21/KI,21,21,21,21,0,0,
case_16230,CV-723209-21/KI,8,8,8,8,0,0,
case_16231,CV-723210-21/KI,8,8,8,8,0,0,
case_16232,CV-723238-21/KI,2,2,2,2,0,0,
case_16233,CV-723240-21/KI,2,2,2,2,0,0,
case_16234,CV-723241-21/KI,2,2,2,2,0,0,
case_16235,CV-723242-21/KI,2,2,2,2,0,0,
case_16236,CV-723247-21/KI,18,18,18,18,0,0,
case_16237,CV-723792-22/KI,5,5,5,5,0,0,
case_16238,CV-723901-22/KI,5,5,5,5,0,0,
case_16239,CV-723904-22/KI,10,10,10,10,0,0,
case_16240,CV-723905-22/KI,3,3,3,3,0,0,
case_16241,CV-723906-22/KI,8,8,8,8,0,0,
case_16242,CV-723907-22/KI,11,11,11,11,0,0,
case_16243,CV-723908-22/KI,11,11,11,11,0,0,
case_16244,CV-723909-22/KI,5,5,5,5,0,0,
case_16245,CV-723910-22/KI,5,5,5,5,0,0,
case_16246,CV-723916-22/KI,12,12,12,12,0,0,
case_16247,CV-723919-22/KI,5,5,5,5,0,0,
case_16248,CV-723920-22/KI,9,9,9,9,0,0,
case_16249,CV-723921-22/KI,5,5,5,5,0,0,
case_16250,CV-723922-22/KI,5,5,5,5,0,0,
case_16251,CV-723923-22/KI,8,8,8,8,0,0,
case_16252,CV-723924-22/KI,19,19,19,19,0,0,
case_16253,CV-723925-22/KI,4,4,4,4,0,0,
case_16254,CV-723926-22/KI,4,4,4,4,0,0,
case_16255,CV-723927-22/KI,5,5,5,5,0,0,
case_16256,CV-724015-22/KI,12,12,12,12,0,0,
case_16257,CV-724016-22/KI,11,11,11,11,0,0,
case_16258,CV-724017-22/KI,7,7,7,7,0,0,
case_16259,CV-724018-22/KI,13,13,13,13,0,0,
case_16260,CV-724019-22/KI,11,11,11,11,0,0,
case_16261,CV-724020-22/KI,5,5,5,5,0,0,
case_16262,CV-724022-22/KI,5,5,5,5,0,0,
case_16263,CV-724361-21/KI,7,7,7,7,0,0,
case_16264,CV-724429-21/KI,1,1,1,1,0,0,
case_16265,CV-724509-21/KI,1,1,1,1,0,0,
case_16266,CV-725419-21/KI,7,7,7,7,0,0,
case_16267,CV-725420-21/KI,7,7,7,7,0,0,
case_16268,CV-725421-21/KI,9,9,9,9,0,0,
case_16269,CV-725474-21/KI,1,1,1,1,0,0,
case_16272,CV-725481-21/KI,18,18,18,18,15,15,
case_16273,CV-725617-21/KI,11,11,11,11,8,8,
case_16274,CV-725618-21/KI,11,11,11,11,1,1,
case_16275,CV-725651-21/KI,1,1,1,1,0,0,
case_16276,CV-725683-21/KI,41,41,41,41,0,0,
case_16277,CV-725684-21/KI,41,41,41,41,0,0,
case_16278,CV-725685-21/KI,40,40,40,40,0,0,
case_16279,CV-727466-21/KI,10,10,10,10,0,0,
case_16280,CV-727467-21/KI,10,10,10,10,0,0,
case_16281,CV-727474-21/KI,4,4,4,4,0,0,
case_16282,CV-727699-21/KI,3,3,3,3,0,0,
case_16283,CV-727701-21/KI,56,56,56,56,0,0,
case_16284,CV-727703-21/KI,2,2,2,2,0,0,
case_16285,CV-727704-21/KI,2,2,2,2,0,0,
case_16286,CV-728780-25/KI,3,3,3,3,0,0,
case_16287,CV-729235-21/KI,1,1,1,1,0,0,
case_16288,CV-729236-21/KI,1,1,1,1,0,0,
case_16289,CV-729250-21/KI,1,1,1,1,0,0,
case_16290,CV-729252-21/KI,1,1,1,1,0,0,
case_16291,CV-729256-21/KI,1,1,1,1,0,0,
case_16292,CV-729258-21/KI,1,1,1,1,0,0,
case_16293,CV-729260-21/KI,1,1,1,1,0,0,
case_16294,CV-729266-21/KI,1,1,1,1,0,0,
case_16295,CV-729267-21/KI,1,1,1,1,0,0,
case_16296,CV-729475-21/KI,3,3,3,3,0,0,
case_16297,CV-729492-21/KI,1,1,1,1,0,0,
case_16298,CV-729494-21/KI,1,1,1,1,0,0,
case_16299,CV-729501-21/KI,1,1,1,1,0,0,
case_16300,CV-729502-21/KI,1,1,1,1,0,0,
case_16301,CV-729522-21/KI,1,1,1,1,0,0,
case_16302,CV-729536-21/KI,1,1,1,1,0,0,
case_16303,CV-729559-21/KI,1,1,1,1,0,0,
case_16304,CV-729560-21/KI,1,1,1,1,0,0,
case_16305,CV-729613-21/KI,18,18,18,18,0,0,
case_16306,CV-729614-21/KI,1,1,1,1,0,0,
case_16307,CV-729615-21/KI,1,1,1,1,0,0,
case_16308,CV-729617-21/KI,1,1,1,1,0,0,
case_16309,CV-729619-21/KI,1,1,1,1,0,0,
case_16310,CV-729621-21/KI,1,1,1,1,0,0,
case_16311,CV-729623-21/KI,1,1,1,1,0,0,
case_16312,CV-729625-21/KI,1,1,1,1,0,0,
case_16313,CV-729627-21/KI,7,7,7,7,0,0,
case_16314,CV-729629-21/KI,7,7,7,7,0,0,
case_16315,CV-729631-21/KI,1,1,1,1,0,0,
case_16316,CV-729633-21/KI,1,1,1,1,0,0,
case_16317,CV-729635-21/KI,1,1,1,1,0,0,
case_16318,CV-729637-21/KI,6,6,6,6,0,0,
case_16319,CV-729639-21/KI,10,10,10,10,0,0,
case_16320,CV-729641-21/KI,3,3,3,3,0,0,
case_16321,CV-729643-21/KI,2,2,2,2,0,0,
case_16322,CV-729644-21/KI,1,1,1,1,0,0,
case_16323,CV-729645-21/KI,1,1,1,1,0,0,
case_16324,CV-729646-21/KI,3,3,3,3,0,0,
case_16325,CV-729647-21/KI,1,1,1,1,0,0,
case_16326,CV-729648-21/KI,1,1,1,1,0,0,
case_16327,CV-729649-21/KI,1,1,1,1,0,0,
case_16328,CV-729650-21/KI,1,1,1,1,0,0,
case_16329,CV-729652-21/KI,1,1,1,1,0,0,
case_16330,CV-729653-21/KI,1,1,1,1,0,0,
case_16331,CV-729656-21/KI,1,1,1,1,0,0,
case_16332,CV-729767-21/KI,23,23,23,23,0,0,
case_16333,CV-730094-21/KI,1,1,1,1,0,0,
case_16334,CV-730095-21/KI,3,3,3,3,0,0,
case_16335,CV-730096-21/KI,3,3,3,3,0,0,
case_16336,CV-730097-21/KI,3,3,3,3,0,0,
case_16337,CV-730098-21/KI,3,3,3,3,0,0,
case_16338,CV-730118-21/KI,1,1,1,1,0,0,
case_16339,CV-730133-21/KI,3,3,3,3,0,0,
case_16340,CV-730135-21/KI,1,1,1,1,0,0,
case_16341,CV-730136-21/KI,1,1,1,1,0,0,
case_16342,CV-730137-21/KI,1,1,1,1,0,0,
case_16343,CV-730138-21/KI,1,1,1,1,0,0,
case_16344,CV-730139-21/KI,1,1,1,1,0,0,
case_16345,CV-730140-21/KI,1,1,1,1,0,0,
case_16346,CV-730144-21/KI,1,1,1,1,0,0,
case_16347,CV-730147-21/KI,1,1,1,1,0,0,
case_16348,CV-730148-21/KI,1,1,1,1,0,0,
case_16349,CV-730153-21/KI,1,1,1,1,0,0,
case_16350,CV-730155-21/KI,3,3,3,3,0,0,
case_16351,CV-730156-21/KI,3,3,3,3,0,0,
case_16352,CV-730161-21/KI,1,1,1,1,0,0,
case_16353,CV-730164-21/KI,3,3,3,3,0,0,
case_16354,CV-730166-21/KI,4,4,4,4,0,0,
case_16470,LT-332163-23/KI,3,3,3,3,0,0,
case_16471,LT-333840-24/KI,5,5,5,5,0,0,
case_16484,190298/2016,373,373,369,369,368,368,
case_16485,190318/2020,507,507,507,507,506,506,
case_16558,E2022006032,933,933,932,932,931,931,
case_16777,190385/2016,714,714,714,714,713,713,
case_16797,2021-02687,10,10,9,9,9,9,
case_16852,909138-21,927,927,927,927,892,892,
case_16873,E2023000702,353,353,353,353,350,350,
case_16905,LT-309203-24/BX,9,9,9,9,0,0,
case_16906,LT-311733-26/BX,6,6,6,6,1,1,
case_16907,LT-317897-23/BX,5,5,5,5,0,0,
case_16908,LT-330382-25/BX,8,8,8,8,3,3,
case_16909,LT-344629-24/BX,7,7,7,7,2,2,
case_16910,000119/2016,229,229,229,229,228,228,
case_16916,030655/2013,93,93,93,93,88,88,
case_17054,020369/2015,20,20,19,19,19,19,
case_17098,513785/2018,100,100,99,99,99,99,
case_17124,CV-736003-21/KI,3,3,3,3,2,2,
case_17125,CV-736004-21/KI,2,2,2,2,1,1,
case_17126,CV-736005-21/KI,4,4,4,4,0,0,
case_17127,CV-736006-21/KI,4,4,4,4,0,0,
case_17128,CV-743422-20/KI,1,1,1,1,0,0,
case_17129,CV-743454-20/KI,1,1,1,1,0,0,
case_17130,CV-750138-21/KI,1,1,1,1,0,0,
case_17131,CV-750139-21/KI,2,2,2,2,0,0,
case_17132,CV-751379-21/KI,8,8,8,8,0,0,
case_17133,CV-751380-21/KI,9,9,9,9,0,0,
case_17134,CV-751381-21/KI,5,5,5,5,0,0,
case_17135,CV-751382-21/KI,4,4,4,4,0,0,
case_17136,CV-751383-21/KI,9,9,9,9,5,5,
case_17137,CV-751384-21/KI,1,1,1,1,0,0,
case_17172,007107/2013,63,63,62,62,61,61,
case_17175,030958/2017,102,102,101,101,101,101,
case_17186,068445/2014,86,86,85,85,85,85,
case_17223,156496/2024,50,50,49,49,49,49,
case_17363,507655/2014,355,355,355,355,351,351,
case_17423,600174/2010,332,332,332,332,324,324,
case_17469,609768/2016,48,48,48,48,47,47,
case_17470,609907/2015,45,45,45,45,44,44,
case_17479,611884/2018,118,118,117,117,116,116,
case_17492,617589/2017,45,45,44,44,43,43,
case_17497,627916/2024,154,154,151,151,151,151,
case_17498,629080/2024,60,60,59,59,59,59,
case_17526,653273/2013,561,561,560,560,560,560,
case_17634,E142456/2010,155,155,154,154,154,154,
case_18078,190056/2022,364,364,364,364,260,260,
case_18511,516387/2016,106,106,106,106,105,105,
case_18672,CV-705370-15/BX,1,1,1,1,0,0,
case_18673,CV-707573-15/BX,1,1,1,1,0,0,
case_18674,CV-707580-15/BX,1,1,1,1,0,0,
case_18750,LT-309458-24/NY,13,13,13,13,7,7,
case_18777,CV-001998-23/HU,2,2,2,2,0,0,
case_18778,CV-702241-20/NY,1,1,1,1,0,0,
case_18779,CV-702465-20/NY,1,1,1,1,0,0,
case_18780,CV-702548-20/NY,1,1,1,1,0,0,
case_18781,CV-702549-20/NY,1,1,1,1,0,0,
case_18782,CV-702586-20/NY,1,1,1,1,0,0,
case_18783,CV-702619-20/NY,1,1,1,1,0,0,
case_18784,CV-702777-20/NY,1,1,1,1,0,0,
case_18785,CV-702778-20/NY,1,1,1,1,0,0,
case_18786,CV-702779-20/NY,1,1,1,1,0,0,
case_18787,CV-702780-20/NY,1,1,1,1,0,0,
case_18788,CV-702967-20/NY,1,1,1,1,0,0,
case_18789,CV-703654-19/NY,1,1,1,1,0,0,
case_18790,CV-703725-24/KI,8,8,8,8,3,3,
case_18791,CV-703738-24/KI,7,7,7,7,5,5,
case_18793,CV-703950-23/RI,1,1,1,1,0,0,
case_18794,CV-704446-20/NY,1,1,1,1,0,0,
case_19182,Not Assigned,2,2,2,2,1,1,
case_19184,Not Assigned,2,2,2,2,0,0,
case_19185,Not Assigned,2,2,2,2,0,0,
case_19186,Not Assigned,2,2,2,2,0,0,
case_19187,Not Assigned,2,2,2,2,0,0,
case_19188,Not Assigned,2,2,2,2,0,0,
case_19189,Not Assigned,2,2,2,2,0,0,
case_19190,Not Assigned,2,2,2,2,0,0,
case_19192,Not Assigned,2,2,2,2,0,0,
case_19193,Not Assigned,2,2,2,2,0,0,
case_19194,Not Assigned,2,2,2,2,0,0,
case_19195,Not Assigned,2,2,2,2,0,0,
case_19196,Not Assigned,2,2,2,2,0,0,
case_19197,Not Assigned,2,2,2,2,0,0,
case_19198,Not Assigned,2,2,2,2,1,1,
case_19200,Not Assigned,2,2,2,2,0,0,
case_19201,Not Assigned,2,2,2,2,1,1,
case_19202,Not Assigned,2,2,2,2,1,1,
case_19203,Not Assigned,2,2,2,2,0,0,
case_19204,Not Assigned,2,2,2,2,0,0,
case_19205,Not Assigned,2,2,2,2,0,0,
case_19206,Not Assigned,2,2,2,2,1,1,
case_19210,Not Assigned,2,2,2,2,0,0,
case_19226,Not Assigned,2,2,2,2,0,0,
case_19239,Not Assigned,2,2,2,2,1,1,
case_19240,Not Assigned,2,2,2,2,0,0,
case_19395,008342/2018,16,16,16,16,14,14,
case_19398,008860/2010,89,89,89,89,88,88,
case_19400,008927/2015,156,156,155,155,155,155,
case_19441,028197/2013,13,13,12,12,12,12,
case_19444,030002/2012,4,4,3,3,3,3,
case_19692,061510/2014,169,169,168,168,168,168,
case_19696,061838/2014,208,208,208,208,207,207,
case_19744,064794/2013,58,58,58,58,57,57,
case_19831,114929-2016,105,105,105,105,104,104,
case_19833,130115/2013,180,180,178,178,176,176,
case_19933,152328/2026,0,5,5,5,5,5,
case_20024,157450/2019,65,65,64,64,63,63,
case_20444,718545/2022,36,36,35,35,35,35,
case_20468,802389/2024E,115,115,113,113,113,113,
case_20516,814976/2022E,86,86,86,86,85,85,
case_20524,818837/2023E,63,63,63,63,62,62,
case_20548,907995-23,72,72,72,72,71,71,
case_20560,CV-765874-25/KI,2,2,2,2,0,0,
case_20596,LT-302402-26/NY,4,4,4,4,1,1,
